Super built-up Area,availability,location,size_BHK,society,total_sqft,bath,balcony,price
Super built-up Area,Ready to move,J C Nagar,3,Unknown Society,1525,3,3,65
Built-up Area,Ready to move,Mahalakshmi Layout,2,Unknown Society,1080,2,1,67
Built-up Area,Ready to move,Bagalur Main Road,2,Unknown Society,1220,2,2,72
Super built-up Area,Ready to move,Begur Road,2,Dhalsh,1200,2,2,44
Super built-up Area,Ready to move,Bommanahalli,2,SNeur G,1215,2,0,73
Plot Area,Ready to move,R.T. Nagar,3,Unknown Society,2400,3,0,348
Super built-up Area,Ready to move,Govindapura,2,Unknown Society,1500,2,2,60
Built-up Area,Ready to move,Koramangala,2,Unknown Society,1355,2,2,95
Built-up Area,Ready to move,Electronic City,2,GMown E,1070,2,1,57
Super built-up Area,Ready to move,CV Raman Nagar,3,Pu270a,1980,4,1,180
Super built-up Area,Ready to move,Bommasandra,2,Niara S,842,2,2,30
Super built-up Area,Ready to move,Bannerghatta Road,1,Baanise,700,1,1,31
Built-up Area,Ready to move,Doddakammanahalli,3,Unknown Society,2500,4,1,65
Built-up Area,Ready to move,Dena Bank Colony,2,Chntsat,1100,2,2,75
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,G rrvaGr,1196,2,2,40
Super built-up Area,Ready to move,Budigere,3,PrityTr,1820,3,2,85
Plot Area,Ready to move,Basavanapura,8,Unknown Society,1200,8,1,145
Super built-up Area,Ready to move,Thanisandra,2,MenueNo,1185,2,2,43
Super built-up Area,Ready to move,Varthur,3,Unknown Society,2145,3,2,170
Super built-up Area,Ready to move,Whitefield,2,Priew P,1220,2,1,89
Super built-up Area,Ready to move,Whitefield,2,Sonviik,1116,2,3,51
Super built-up Area,Ready to move,6th Phase JP Nagar,2,HMinebo,1192,2,3,75
Super built-up Area,Ready to move,Marathahalli,3,NCenega,1449,3,2,110
Plot Area,Ready to move,Ardendale,3,Somus A,2500,3,1,250
Built-up Area,Ready to move,Electronic City,3,BrnoxEq,1700,3,2,90
Super built-up Area,Ready to move,Hebbal,3,Mahosya,1920,3,2,150
Plot Area,Ready to move,BTM 4th Stage,2,Unknown Society,1350,2,0,90
Plot Area,Ready to move,Devanahalli Int. Airport,4,Unknown Society,4800,5,2,350
Super built-up Area,Ready to move,Hoodi,2,Hahtsde,1447,3,2,76
Super built-up Area,Ready to move,Kanakpura Road,2,Soazak,1329,2,1,107
Built-up Area,Ready to move,Sarjapur Road,3,Esatea,1314,2,2,70
Plot Area,Ready to move,Hal old airport road,3,Unknown Society,1200,3,2,110
Plot Area,Ready to move,Basavangudi,6,Unknown Society,1214,3,0,220
Super built-up Area,Ready to move,Hosa Road,3,Sosisic,1513,3,1,103
Plot Area,Ready to move,arudi,3,Unknown Society,6Acres,2,0,80
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1246,2,1,67
Super built-up Area,Ready to move,Ganga Nagar,1,Unknown Society,705,1,1,65
Super built-up Area,Ready to move,Dasarahalli,2,Syonyph,1220,2,2,62
Super built-up Area,Ready to move,Yelahanka New Town,3,Unknown Society,1800,2,1,45
Super built-up Area,Ready to move,Kaval Byrasandra,3,Unknown Society,1400,3,2,75
Super built-up Area,Ready to move,Kasavanhalli,2,Bhensa,1245,2,2,80
Super built-up Area,Ready to move,Anantapuram,3,GKiewke,1495,2,1,63
Plot Area,Ready to move,Nagavara,3,Unknown Society,2000,2,2,275
Built-up Area,Ready to move,Gollarapalya Hosahalli,2,Mauner,996,2,2,36
Built-up Area,Ready to move,Yelahanka New Town,2,Unknown Society,1000,2,1,44
Built-up Area,Ready to move,Chikka Banaswadi,2,SuntsAp,1250,2,3,75
Super built-up Area,Ready to move,Chandapura,2,SunceEs,975,2,1,24
Super built-up Area,Ready to move,Thanisandra,3,Pronyt,1261,2,1,80
Built-up Area,Ready to move,Electronics City Phase 1,2,Raenti,1080,2,2,46
Super built-up Area,Ready to move,Akshayanagara East,2,HoDewy,1230,2,1,50
Super built-up Area,Ready to move,Kammasandra,2,Unknown Society,982,2,2,25
Super built-up Area,Ready to move,Bommasandra,3,SSestth,1260,3,1,49
Super built-up Area,Ready to move,HSR Layout,3,PuontFa,1590,2,2,135
Super built-up Area,Ready to move,Horamavu Agara,2,Suise S,1220,2,2,39
Super built-up Area,Ready to move,Electronic City Phase II,3,Sryalan,1320,2,1,38
Super built-up Area,Ready to move,Green Glen Layout,3,Solia D,1750,3,2,105
Super built-up Area,Ready to move,Whitefield,3,Iseenst,1436,2,3,62
Plot Area,Ready to move,TC Palaya,3,Unknown Society,1200,2,0,66
Super built-up Area,Ready to move,Malleshwaram,2,Rintspa,1500,2,1,140
Super built-up Area,Ready to move,Varthur,3,Caiseur,1560,3,2,90
Super built-up Area,Ready to move,Whitefield,3,Unknown Society,3758,3,1,300
Super built-up Area,Ready to move,Belatur,2,Indanrt,1275,2,2,59
Super built-up Area,Ready to move,Ramanjaneyanagar,2,Unknown Society,1040,2,2,36
Super built-up Area,Ready to move,Bellandur,3,BhreeBa,2400,3,2,115
Plot Area,Ready to move,Chamrajpet,6,Unknown Society,1500,9,3,230
Plot Area,Ready to move,Kaggalipura,4,AxvamTa,3150,5,1,212
Super built-up Area,Ready to move,Karuna Nagar,3,CoinoCu,1960,3,2,165
Super built-up Area,Ready to move,JP Nagar,4,Brnumnn,3200,5,3,309
Super built-up Area,Ready to move,Yeshwanthpur,2,Vatra N,1195,2,2,100
Super built-up Area,Ready to move,Yelahanka,2,Neite T,1140,2,0,53
Super built-up Area,Ready to move,Hosakerehalli,5,Unknown Society,4500,5,2,145
Plot Area,Ready to move,Ulsoor,3,Unknown Society,450,3,1,70
Plot Area,Ready to move,Sathya Sai Layout,4,Prowshi,4304,4,2,699
Super built-up Area,Ready to move,Javarandoddi,1,Unknown Society,648,1,1,40
Super built-up Area,Ready to move,Sarjapur Road,3,Supleon,2100,3,2,130
Super built-up Area,Ready to move,Thanisandra main road,4,Unknown Society,4209,4,2,602
Super built-up Area,Ready to move,Kudlu,2,Srrnasa,1027,2,1,44
Plot Area,Ready to move,Whitefield,4,Leuseut,1575,4,3,250
Super built-up Area,Ready to move,Bommasandra,3,SSestth,1365,3,1,52
Super built-up Area,Ready to move,Yelahanka New Town,1,KHatsFl,650,1,1,18
Plot Area,Ready to move,Chandapura,3,Unknown Society,1200,2,1,52
Super built-up Area,Ready to move,Cooke Town,2,Unknown Society,1100,2,3,90
Built-up Area,Ready to move,7th Phase JP Nagar,3,LencyRe,1075,2,1,57
Super built-up Area,Ready to move,Banashankari,2,SuentAp,1100,2,1,63
Super built-up Area,Ready to move,Akshya Nagar,3,Unknown Society,1320,2,1,58
Super built-up Area,Ready to move,Kammasandra,3,Daden G,1500,3,2,65
Plot Area,Ready to move,Vijaypura,4,Unknown Society,1200,5,1,150
Plot Area,Ready to move,Bapuji Nagar,4,Unknown Society,1125,3,2,126
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1246,2,1,67
Super built-up Area,Ready to move,Bhoganhalli,3,Rosha I,1718,3,2,90
Super built-up Area,Ready to move,Bisuvanahalli,3,Prityel,1075,2,1,32
Super built-up Area,Ready to move,Chennammana Kere,3,Unknown Society,1480,3,1,75
Super built-up Area,Ready to move,Austin Town,1,Unknown Society,500,1,1,13
Plot Area,Ready to move,3rd Block Banashankari,5,Unknown Society,2400,4,1,325
Plot Area,Ready to move,Kaikondrahalli,4,Unknown Society,1200,4,2,125
Super built-up Area,Ready to move,Kanakpura Road,2,Unknown Society,1041,2,1,36
Super built-up Area,Ready to move,Doddanekundi,2,Unknown Society,1128,2,2,48
Super built-up Area,Ready to move,Hosur Road,3,Kelmsoy,1685,3,1,90
Super built-up Area,Ready to move,Guddadahalli,2,KSidems,1180,2,2,65
Built-up Area,Ready to move,Ejipura,2,BadorSp,1200,2,1,60
Super built-up Area,Ready to move,Mangammanapalya,3,Unknown Society,1250,3,2,39
Super built-up Area,Ready to move,Kanakpura Road,2,PrarePa,900,2,1,41
Built-up Area,Ready to move,Chelekare,2,BhisePa,1000,2,1,45
Built-up Area,Ready to move,Yelahanka New Town,2,Unknown Society,600,2,2,80
Plot Area,Ready to move,2nd Stage Nagarbhavi,4,Unknown Society,600,3,2,82
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1404,2,1,70
Super built-up Area,Ready to move,Ramagondanahalli,3,DNeremo,1610,2,2,115
Super built-up Area,Ready to move,Varthur,2,Unris E,1760,2,1,85
Super built-up Area,Ready to move,Amam Enclave Layout,2,Unknown Society,975,2,1,55
Built-up Area,Ready to move,Kashi Nagar,2,Adarkya,1190,2,2,42
Built-up Area,Ready to move,Kudlu,2,Unknown Society,1110,2,1,46
Super built-up Area,Ready to move,Rajaji Nagar,3,PhestOn,2415,3,2,399
Super built-up Area,Ready to move,Gunjur,2,BMineis,1235,2,2,44
Super built-up Area,Ready to move,Nanjappa Garden,2,TNnumla,1275,2,3,55
Built-up Area,Ready to move,Victoria Layout,2,Unknown Society,1115,2,1,115
Super built-up Area,Ready to move,Harlur,2,Prncyrn,1197,2,1,76
Super built-up Area,Ready to move,Begur Road,1,Pruthg,644,1,1,32
Super built-up Area,Ready to move,Bellandur,2,Unknown Society,1251,2,3,47
Super built-up Area,Ready to move,Neeladri Nagar,2,SKisyDa,1105,2,2,30
Super built-up Area,Ready to move,4th Phase JP Nagar,2,Unknown Society,1080,2,2,38
Super built-up Area,Ready to move,Kudlu,4,Unknown Society,2100,3,1,114
Plot Area,Ready to move,Kammanahalli,4,Unknown Society,1600,4,1,200
Super built-up Area,Ready to move,NRI Layout,3,Unknown Society,1731,3,3,64
Super built-up Area,Ready to move,Hormavu,2,ARaveSa,1206,2,1,55
Super built-up Area,Ready to move,Choodasandra,3,MJiyayl,1560,3,2,78
Super built-up Area,Ready to move,7th Phase JP Nagar,1,Brnia G,750,1,2,47
Built-up Area,Ready to move,Billekahalli,2,Chuti S,1035,2,2,90
Plot Area,Ready to move,Ramamurthy Nagar,7,Unknown Society,1200,6,2,150
Super built-up Area,Ready to move,Sarjapur Road,1,SJityaz,702,1,0,35
Plot Area,Ready to move,Attibele,3,Unknown Society,1700,3,1,65
Super built-up Area,Ready to move,HRBR Layout,2,Unknown Society,1145,2,2,68
Super built-up Area,Ready to move,Ramamurthy Nagar,3,Unknown Society,1208,2,2,43
Super built-up Area,Ready to move,Brookefield,3,Unknown Society,1589,3,2,74
Built-up Area,Ready to move,Allalasandra,2,Jaensa,560,2,1,22
Super built-up Area,Ready to move,Yelahanka New Town,3,SLhidOr,1426,2,2,61
Super built-up Area,Ready to move,Green Glen Layout,3,Sortz Q,1885,3,2,135
Super built-up Area,Ready to move,Old Madras Road,2,SheldGr,935,2,0,37
Super built-up Area,Ready to move,Old Madras Road,2,Saesttt,1171,2,2,73
Super built-up Area,Ready to move,Singasandra,2,Unknown Society,1465,2,3,60
Super built-up Area,Ready to move,Budigere,3,PrityTr,1820,3,2,95
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,3,GrrvaGr,1580,2,2,66
Super built-up Area,Ready to move,Whitefield,3,SMuilan,1452,2,2,46
Super built-up Area,Ready to move,Hennur Road,3,Mileeou,1445,2,1,89
Super built-up Area,Ready to move,Gollahalli,2,Meines,1170,2,1,39
Super built-up Area,Ready to move,Anjappa Layout,2,Unknown Society,1070,2,1,50
Super built-up Area,Ready to move,Kanakpura Road,3,PrarePa,1100,3,2,53
Super built-up Area,Ready to move,Kothanur,2,Unknown Society,1140,2,2,56
Built-up Area,Ready to move,Rachenahalli,3,NRniad,2600,3,2,160
Super built-up Area,Ready to move,Shikaripalya,3,ALtonea,1532,3,2,59
Super built-up Area,Ready to move,AGS Layout,2,Unknown Society,1150,2,1,46
Super built-up Area,Ready to move,Jakkur,2,HRaniIb,1473,2,1,85
Super built-up Area,Ready to move,Kathriguppe,3,Prone M,1350,3,2,80
Super built-up Area,Ready to move,Prithvi Layout,4,Prigh L,4040,4,0,500
Super built-up Area,Ready to move,CV Raman Nagar,3,Pu270a,1980,4,2,166
Super built-up Area,Ready to move,Hoodi,3,GoAirej,1660,3,2,128
Plot Area,Ready to move,Kogilu,7,Unknown Society,2456,7,2,85
Super built-up Area,Ready to move,Chamrajpet,2,Unknown Society,650,2,2,45
Plot Area,Ready to move,Neeladri Nagar,5,Coleyli,4000,5,2,425
Super built-up Area,Ready to move,Malleshwaram,3,Sariaat,2475,4,3,340
Super built-up Area,Ready to move,Chikkakannalli,3,Unknown Society,1495,3,2,90
Super built-up Area,Ready to move,R.T. Nagar,2,Esncyth,1080,2,1,48
Super built-up Area,Ready to move,Electronic City,3,Elodsre,1521,2,2,57
Built-up Area,Ready to move,Aishwarya Crystal Layout,2,GRvasth,1053,2,0,51
Super built-up Area,Ready to move,Binny Pete,3,Shestlo,2406,5,2,289
Plot Area,Ready to move,Kanakpura Road,4,Unknown Society,800,5,3,115
Super built-up Area,Ready to move,7th Phase JP Nagar,2,Unknown Society,1050,2,1,42
Super built-up Area,Ready to move,Thanisandra,3,MenueNo,1430,2,2,51
Built-up Area,Ready to move,Begur,3,SrSaira,2400,3,2,12
Super built-up Area,Ready to move,OLd Gurappanapalya,3,Unknown Society,1250,3,2,39
Plot Area,Ready to move,Ramanagara Channapatna,4,Unknown Society,1200,2,1,75
Built-up Area,Ready to move,Ulsoor,1,Unknown Society,840,1,1,150
Super built-up Area,Ready to move,Uttarahalli,2,SBiewid,1000,2,2,39
Super built-up Area,Ready to move,Bannerghatta Road,3,Guranya,1630,3,3,68
Super built-up Area,Ready to move,Kammasandra,2,Pre 1ri,985,2,1,40
Super built-up Area,Ready to move,BTM 2nd Stage,2,Chaldi,1200,2,2,70
Built-up Area,Ready to move,Ambalipura,3,Unknown Society,1650,3,3,100
Super built-up Area,Ready to move,Mico Layout,3,Amsomun,1670,3,2,59
Super built-up Area,Ready to move,5th Block Hbr Layout,5,Unknown Society,1200,5,1,205
Plot Area,Ready to move,Sarjapur Road,4,Saacesa,1240,4,0,110
Built-up Area,Ready to move,Maheswari Nagar,2,AsensGa,1000,2,2,60
Super built-up Area,Ready to move,Doddabanahalli,2,Unknown Society,830,2,2,26
Plot Area,Ready to move,Ramagondanahalli,3,Unknown Society,1200,3,1,56
Plot Area,Ready to move,Sadashiva Nagar,5,Unknown Society,9600,7,2,2736
Super built-up Area,Ready to move,Begur Road,4,Pruthg,2400,6,0,122
Super built-up Area,Ready to move,Haralur Road,2,RInceeg,1140,2,2,43
Super built-up Area,Ready to move,Nagarbhavi,3,Deens G,1635,3,3,85
Built-up Area,Ready to move,HSR Layout,2,Unknown Society,1120,2,1,70
Plot Area,Ready to move,Kamakya Layout,6,Unknown Society,2750,6,3,200
Super built-up Area,Ready to move,Sector 7 HSR Layout,3,Saitya,1760,3,2,185
Super built-up Area,Ready to move,Harlur,3,SrEndPo,2137,3,2,110
Super built-up Area,Ready to move,Hennur Road,2,Koagati,973,2,1,50
Super built-up Area,Ready to move,Kundalahalli,3,Dieldli,1724,3,1,146
Super built-up Area,Ready to move,Banashankari,2,Unknown Society,1020,2,2,40
Plot Area,Ready to move,Hsr layout sector3,4,Unknown Society,1200,4,3,375
Super built-up Area,Ready to move,Electronic City,1,Unknown Society,750,1,1,35
Super built-up Area,Ready to move,Kambipura,2,Prrtht,883,2,1,49
Built-up Area,Ready to move,Thyagraj Nagar,2,Unknown Society,660,2,0,76
Super built-up Area,Ready to move,Ramagondanahalli,4,DNeremo,2787,5,2,220
Built-up Area,Ready to move,Devasthanagalu,3,Grmes L,1470,2,3,60
Super built-up Area,Ready to move,Electronics City Phase 1,2,DSrry S,891,2,1,24
Super built-up Area,Ready to move,Kothanur,3,Somumys,1787,3,2,120
Built-up Area,Ready to move,8th Phase JP Nagar,5,Unknown Society,1730,5,2,75
Super built-up Area,Ready to move,Sarjapur Road,2,Adeatlm,1320,2,2,110
Super built-up Area,Ready to move,Yeshwanthpur,3,Aroomba,1692,3,3,108
Super built-up Area,Ready to move,Bannerghatta Road,3,SNity S,1400,3,2,69
Super built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1115,2,1,50
Super built-up Area,Ready to move,Whitefield,2,Sparam,1370,2,2,56
Super built-up Area,Ready to move,Thirumenahalli,3,MNtha A,1602,3,2,56
Super built-up Area,Ready to move,GM Palaya,1,Srg Bnc,675,1,1,35
Built-up Area,Ready to move,Chikka Tirupathi,4,Theanmp,3 250,4,2,136
Super built-up Area,Ready to move,Whitefield,2,Prarat,1050,2,3,43
Built-up Area,Ready to move,Jalahalli East,2,Srigmsw,1035,2,1,42
Super built-up Area,Ready to move,Sarjapur Road,3,MJinele,1200,2,2,44
Super built-up Area,Ready to move,Sarjapur Road,3,Saitya,1800,3,2,128
Built-up Area,Ready to move,Green Glen Layout,3,Prodsm,1625,3,2,70
Super built-up Area,Ready to move,Electronics City Phase 1,2,DSsicky,1032,2,1,31
Super built-up Area,Ready to move,Whitefield,3,Asarqz,1496,2,1,71
Super built-up Area,Ready to move,Kothnoor Dinne,2,Unknown Society,1100,2,2,38
Built-up Area,Ready to move,Kundalahalli,3,Unknown Society,1500,3,2,50
Built-up Area,Ready to move,Electronic City Phase II,2,Sryalan,1125,2,1,32
Super built-up Area,Ready to move,Chikka Banaswadi,3,MSadeed,1555,3,3,73
Super built-up Area,Ready to move,Amruthahalli,2,Srncy R,1025,2,1,42
Super built-up Area,Ready to move,Hennur Road,3,Puachal,1482,2,1,83
Super built-up Area,Ready to move,Banagirinagar,3,Unknown Society,1630,2,2,130
Super built-up Area,Ready to move,Arekere,2,Prdowth,900,2,1,44
Super built-up Area,Ready to move,Yelahanka,3,Rarthne,1355,2,3,75
Plot Area,Ready to move,1st Block Koramangala,4,Unknown Society,2360,4,2,601
Built-up Area,Ready to move,Akshaya Nagar,2,Unknown Society,1200,2,2,45
Super built-up Area,Ready to move,Suraksha Nagar,3,AritaFe,1563,3,2,63
Plot Area,Ready to move,Medaralli,4,Unknown Society,1344,4,1,84
Super built-up Area,Ready to move,6th block Koramangala,3,Unknown Society,3000,3,2,400
Super built-up Area,Ready to move,5th Phase JP Nagar,2,Unknown Society,812,2,1,42
Built-up Area,Ready to move,Basaveshwara Nagar,2,Unknown Society,1200,2,1,70
Super built-up Area,Ready to move,Yelahanka,4,Unknown Society,3175,4,1,156
Super built-up Area,Ready to move,Marathahalli,2,Prionad,1360,2,1,101
Super built-up Area,Ready to move,Hegde Nagar,3,Golmsn,1835,3,3,88
Built-up Area,Ready to move,Rachenahalli,3,NRodsen,1756,3,2,110
Super built-up Area,Ready to move,8th Phase JP Nagar,3,MBodsen,1296,2,2,51
Super built-up Area,Ready to move,Haralur Road,2,NDionas,1300,2,1,75
Super built-up Area,Ready to move,Anandapura,2,ViensRK,1141,2,1,50
Super built-up Area,Ready to move,Poorna Pragna Layout,3,Unknown Society,1270,2,2,50
Built-up Area,Ready to move,Electronic City,2,DSgmax,1210,2,1,55
Super built-up Area,Ready to move,Hormavu,2,Savar S,1310,2,2,67
Plot Area,Ready to move,Ejipura,5,Unknown Society,1356,5,2,139
Super built-up Area,Ready to move,Magadi Road,3,Vrenty,1052,2,0,55
Super built-up Area,Ready to move,Gubbalala,3,MauilTr,1745,3,2,140
Plot Area,Ready to move,KR Puram,5,Unknown Society,1200,5,1,125
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,Unknown Society,1050,2,2,37
Plot Area,Ready to move,Banashankari,4,Unknown Society,2400,4,3,500
Super built-up Area,Ready to move,Electronic City Phase II,2,Sryalan,1140,2,1,34
Super built-up Area,Ready to move,Varthur,2,Vaensia,1210,2,2,54
Super built-up Area,Ready to move,Kasavanhalli,3,Unknown Society,2035,3,2,142
Super built-up Area,Ready to move,Sarjapur,1,DSousyl,633,1,1,17
Built-up Area,Ready to move,Amruthahalli,1,Prowsi,485,1,1,19
Super built-up Area,Ready to move,Varthur,2,DSingSt,1112,2,2,40
Plot Area,Ready to move,Ullal Uppanagar,2,Unknown Society,1200,2,0,82
Super built-up Area,Ready to move,Sarjapur Road,3,Adeatlm,2275,4,2,187
Super built-up Area,Ready to move,Doddanakundi Industrial Area 2,3,BrlonAv,1419,3,2,85
Super built-up Area,Ready to move,Sri Sai Layout,2,Unknown Society,1195,2,1,42
Built-up Area,Ready to move,Versova Layout,3,Unknown Society,2020,3,3,270
Super built-up Area,Ready to move,Kundalahalli,2,Dieldli,1047,2,2,91
Super built-up Area,Ready to move,Thanisandra,3,Soitya,1884,4,2,117
Plot Area,Ready to move,Malleshpalya,3,Unknown Society,1200,3,2,149
Super built-up Area,Ready to move,Bannerghatta Road,2,SNity S,905,2,1,58
Super built-up Area,Ready to move,JP Nagar,3,Brwernn,1500,2,1,108
Built-up Area,Ready to move,Chikkajala,1,Unknown Society,850,1,0,50
Built-up Area,Ready to move,Bommasandra Industrial Area,2,Unknown Society,1125,2,1,32
Built-up Area,Ready to move,Tindlu,2,Unknown Society,1165,2,2,59
Built-up Area,Ready to move,Maruthi Sevanagar,2,Unknown Society,933,2,0,55
Super built-up Area,Ready to move,Hennur Road,3,Maity W,1305,2,1,77
Super built-up Area,Ready to move,Billekahalli,2,Asity S,1125,2,1,65
Super built-up Area,Ready to move,BSM Extension,2,Raave E,865,2,2,33
Super built-up Area,Ready to move,Jigani,3,DLhtsen,1245,3,3,66
Super built-up Area,Ready to move,Kalyan nagar,2,Unknown Society,8840,2,3,300
Super built-up Area,Ready to move,Udayagiri,3,Ozquaba,1145,2,2,60
Built-up Area,Ready to move,AECS Layout,3,Concyvi,2000,3,1,90
Super built-up Area,Ready to move,Hosa Road,1,Skume R,625,1,1,43
Super built-up Area,Ready to move,Kundalahalli,3,Dieldli,1724,3,2,128
Plot Area,Ready to move,Madiwala,1,Unknown Society,400,1,1,75
Super built-up Area,Ready to move,Sarjapur Road,3,Shthi S,1270,2,1,54
Super built-up Area,Ready to move,Madiwala,3,Unknown Society,1250,3,2,39
Super built-up Area,Ready to move,Jakkur,3,ArndsSk,1485,3,2,72
Super built-up Area,Ready to move,Shankarapuram,2,Unknown Society,823,2,1,80
Super built-up Area,Ready to move,7th Phase JP Nagar,2,Unknown Society,990,2,2,50
Plot Area,Ready to move,TC Palaya,3,Unknown Society,1200,2,0,66
Super built-up Area,Ready to move,Kothanur,2,Unknown Society,1185,2,2,59
Super built-up Area,Ready to move,Kadubeesanahalli,2,Unknown Society,1140,2,1,78
Super built-up Area,Ready to move,Ambedkar Nagar,3,SoechHa,1950,4,2,120
Super built-up Area,Ready to move,Yelahanka,3,Pyikad,1756,3,2,125
Built-up Area,Ready to move,Kumaraswami Layout,4,Unknown Society,2600,4,2,300
Super built-up Area,Ready to move,Chandapura,1,SuVue S,520,1,1,14
Built-up Area,Ready to move,Doddakannelli,2,Jyavet,1025,2,1,48
Built-up Area,Ready to move,Whitefield,2,Unknown Society,1216,2,1,72
Super built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1026,2,2,60
Super built-up Area,Ready to move,Sarjapur Road,4,Adeatlm,3335,4,3,300
Built-up Area,Ready to move,Kodichikkanahalli,5,Unknown Society,2700,4,2,125
Super built-up Area,Ready to move,Begur,3,Arera V,1411,2,2,60
Super built-up Area,Ready to move,Kanakpura Road,3,SPthara,1320,2,1,39
Built-up Area,Ready to move,Bannerghatta,2,Srentea,1320,2,0,50
Plot Area,Ready to move,OMBR Layout,4,Unknown Society,615,4,2,110
Super built-up Area,Ready to move,Kalena Agrahara,3,Prillot,1804,3,2,155
Super built-up Area,Ready to move,HSR Layout,2,NRosete,1140,2,2,46
Plot Area,Ready to move,Banjara Layout,4,Unknown Society,1200,4,1,105
Super built-up Area,Ready to move,Hebbal,4,Prersis,2375,4,2,189
Plot Area,Ready to move,Chamundi Nagar,3,Unknown Society,1750,3,2,120
Plot Area,Ready to move,Wilson Garden,9,Unknown Society,960,5,2,130
Super built-up Area,Ready to move,TC Palaya,2,Unknown Society,1152,2,2,55
Super built-up Area,Ready to move,Thanisandra,2,Bhmesy,965,2,1,54
Super built-up Area,Ready to move,Lingadheeranahalli,3,Soiewre,1684,3,1,120
Super built-up Area,Ready to move,Hennur Road,3,MItatHa,1672,3,2,86
Super built-up Area,Ready to move,Panathur,2,Saite G,1075,2,2,60
Plot Area,Ready to move,Sarjapur,3,PulokPu,1500,5,2,95
Super built-up Area,Ready to move,HOSUR MAIN ROAD,3,Unknown Society,1464,3,2,56
Super built-up Area,Ready to move,Hebbal,2,Mahosya,1420,2,1,99
Super built-up Area,Ready to move,Nagashetty Halli,2,Unknown Society,750,2,0,40
Super built-up Area,Ready to move,Yeshwanthpur,2,IBityin,1169,2,2,64
Super built-up Area,Ready to move,Devanahalli,3,Cerdsga,1290,2,1,62
Super built-up Area,Ready to move,Kengeri,2,Unknown Society,1160,2,2,40
Built-up Area,Ready to move,Shampura,7,Unknown Society,2800,5,3,95
Super built-up Area,Ready to move,Mysore Road,3,Brama P,1500,3,2,70
Super built-up Area,Ready to move,Domlur,3,Unknown Society,1850,3,1,180
Super built-up Area,Ready to move,Venkatapura,3,Unknown Society,1300,3,2,46
Super built-up Area,Ready to move,Electronic City Phase II,3,Sryalan,1310,2,1,37
Built-up Area,Ready to move,RMV,3,Unknown Society,2750,5,2,550
Super built-up Area,Ready to move,Bhoopsandra,3,E onsg,2150,3,0,170
Built-up Area,Ready to move,5th Block Hbr Layout,6,Unknown Society,5100,5,3,300
Super built-up Area,Ready to move,Kanakpura Road,3,Unknown Society,1300,2,3,69
Plot Area,Ready to move,Kadugodi,3,Unknown Society,1875,2,1,110
Super built-up Area,Ready to move,Hulimavu,3,Unknown Society,1260,2,1,82
Built-up Area,Ready to move,Kengeri,5,Unknown Society,2500,4,3,100
Super built-up Area,Ready to move,Begur Road,2,Unknown Society,1241,2,1,64
Super built-up Area,Ready to move,Sarjapur Road,2,Usquaya,1025,2,2,45
Plot Area,Ready to move,Postal Colony,2,Unknown Society,1500,1,0,218
Built-up Area,Ready to move,Electronic City,2,GMown E,1070,2,1,60
Super built-up Area,Ready to move,Begur,2,Prorath,815,2,1,40
Built-up Area,Ready to move,Kanakpura Road,3,SoestSu,2000,3,3,105
Super built-up Area,Ready to move,Malleshwaram,2,Unknown Society,1400,2,1,190
Plot Area,Ready to move,Varthur,4,Unknown Society,1740,4,3,175
Super built-up Area,Ready to move,ITPL,4,Toodyit,5666,5,0,300
Built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1216,2,2,70
Super built-up Area,Ready to move,pavitra paradise,3,Unknown Society,2200,2,1,190
Plot Area,Ready to move,Hegde Nagar,4,Sotosty,3500,5,2,450
Plot Area,Ready to move,Shampura,6,Unknown Society,970,6,3,105
Plot Area,Ready to move,Vidyaranyapura,7,Unknown Society,3150,7,3,375
Plot Area,Ready to move,Kanakpura Road,2,Unknown Society,1200,2,0,62
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,1026,2,1,50
Built-up Area,Ready to move,Hulimavu,1,Unknown Society,450,1,1,20
Super built-up Area,Ready to move,KR Puram,2,LVniaar,1205,2,1,45
Super built-up Area,Ready to move,Jakkur Plantation,2,Reicace,1368,2,3,87
Built-up Area,Ready to move,Anekal,1,Unknown Society,420,1,1,12
Built-up Area,Ready to move,Doddakallasandra,2,Unknown Society,1270,2,2,42
Super built-up Area,Ready to move,Anekal,2,Unknown Society,614,1,1,28
Plot Area,Ready to move,Margondanahalli,2,Unknown Society,1050,2,0,58
Super built-up Area,Ready to move,Yelahanka,2,Juclend,1408,2,2,58
Super built-up Area,Ready to move,Subramanyapura,3,Unknown Society,1223,2,2,42
Built-up Area,Ready to move,Reliaable Tranquil Layout,3,Sariana,1507,3,1,80
Super built-up Area,Ready to move,kadubisnahalli,2,Unknown Society,1160,2,2,57
Plot Area,Ready to move,Kithaganur,3,Unknown Society,1200,3,1,70
